,name,address,closed,gPlusPlaceId,gps,Class_,Class_$,Class_$$,Class_$$$,location_cluster,rating,categories,unixReviewTime,reviewTime,top_category,relevant_cat,translated,cat_cluster,sentiment,charged_words,price_words
0,Tropical Acres Steakhouse,"['2500 Griffin Rd', 'Fort Lauderdale, FL 33312']",False,115757957627721988675,"[26.062206, -80.174118]",0,0,1,0,0.0,5.0,"['Steak House', 'Seafood Restaurant', 'Wedding Venue']",2013-04-30 20:29:03,2013-04-30,Steak House,True,,1.0,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",[],[]
1,Cookie's Kitchen,"['4108 Mountain Rd', 'Pasadena, MD 21122']",False,116555416797255000560,"[39.123457, -76.51594]",0,0,1,0,0.0,4.0,['Restaurant'],2013-02-10 18:06:42,2013-02-10,Restaurant,True,,,,,[]
2,OK Patron Fajita Bar,"['27393 Helen Dr', 'Perrysburg, OH 43551']",True,114781865961627441828,"[41.550417, -83.599923]",0,0,0,1,0.0,5.0,"['Mexican Restaurant', 'Latin American Restaurant', 'Buffet Restaurant']",2012-03-30 22:15:58,2012-03-30,Mexican Restaurant,True,,,,,[]
3,Q Restaurant and Wine Bar,"['225 Clement St', 'San Francisco, CA 94118']",False,114735143729299990529,"[37.782974, -122.461734]",0,0,1,0,0.0,5.0,"['American Restaurant', 'Barbecue Restaurant', 'Wine Bar']",2011-08-29 20:18:10,2011-08-29,American Restaurant,True,,,,,[]
4,Jim's Coney Island Cafe,"['1750 N Scottsdale Rd', 'Tempe, AZ 85281']",False,105589668159024738610,"[33.448675, -111.926815]",0,0,1,0,0.0,5.0,['American Restaurant'],2013-07-28 21:07:31,2013-07-28,American Restaurant,True,,,,,[]
5,Goody Cole's Smokehouse,"['374 New Hampshire 125', 'Brentwood, NH 03833']",False,112602999597241746059,"[43.00544, -71.077328]",0,0,1,0,0.0,5.0,['Barbecue Restaurant'],2011-10-27 15:12:13,2011-10-27,Barbecue Restaurant,True,,,,,[]
6,McDonald Parking,"['153', 'Beograd', 'Serbia']",False,106182076425871728964,"[44.802249, 20.385507]",0,0,0,1,0.0,5.0,['Restaurant'],2013-09-02 17:17:35,2013-09-02,Restaurant,True,,,,,[]
7,McDonald's,"['100 Westfield Ave W #108w', 'Roselle Park, NJ 07204']",False,104939936717863778559,"[40.661091, -74.267292]",0,0,0,1,0.0,2.0,"['Fast Food Restaurant', 'Hamburger Restaurant']",2013-11-13 18:36:25,2013-11-13,Fast Food Restaurant,True,,,,,[]
8,Gwennie's Old Alaska Restaurant,"['4333 Spenard Rd', 'Anchorage, AK 99517']",False,110087830744246660055,"[61.18172, -149.932757]",0,0,1,0,0.0,3.0,['American Restaurant'],2012-06-20 23:29:53,2012-06-20,American Restaurant,True,,,,,[]
9,La Chaya Bistro,"['4537 Nicollet Ave', 'Minneapolis, MN 55419']",True,106158544902877943568,"[44.920319, -93.277544]",0,0,1,0,0.0,5.0,"['Restaurant or Cafe', 'Bistro']",2012-06-06 05:32:20,2012-06-05,Restaurant or Cafe,True,,,,,[]
