,rating,reviewText,categories,gPlusPlaceId,unixReviewTime,reviewTime,language,name,address,closed,gps,translated,top_category,relevant_cat,cat_cluster,sentiment,charged_words,price_words,Class_$$,Class_$$$
13,4.0,Best War Wanton soup in Red Bluff,"['Asian Restaurant', 'Chinese Restaurant']",106591714648856494903,2014-03-13 00:11:36,2014-03-12,en,Peking Chinese Restaurant,"['860 Main St', 'Red Bluff, CA 96080']",False,"[40.179159, -122.236162]",Best Wor Wonton soup in Red Bluff,Asian Restaurant,True,1.0,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.6369}",['Best'],[],0,1
14,5.0,"This is a review that is long overdo. I've been enjoying the great pizza at this restaurant for over a year now and it's hands down the best in town. I saw a review on here saying the pizza was greasy, and I'll bet it was for a peperoni pizza. I don't know how you could put so many slices of peperoni on, where you can't even see the cheese, without a little pepperoni grease escaping. These guys at Firehouse make the pizzas that everyone else does in their commercials, you can watch as they pile the toppings a mile high on every pie. And when was the last time you saw someone slicing bell peppers and tomatoes by hand for your pizza. I honestly have a hard time understanding how these guys stay in business, but I'm glad they do. And the five dollar slice and soda lunch is probably the best value in town. Thanks guys, keep it up.","['European Restaurant', 'Italian Restaurant', 'Pizza Restaurant']",109420033090810328045,2014-03-14 19:46:28,2014-03-14,en,Firehouse Pizza,"['734 Main St', 'Red Bluff, CA 96080']",False,"[40.178074, -122.235234]","This is a review that is long overdo. I've been enjoying the great pizza at this restaurant for over a year now and it's hands down the best in town. I saw a review on here saying the pizza was greasy, and I'll bet it was for a peperoni pizza. I don't know how you could put so many slices of peperoni on, where you can't even see the cheese, without a little pepperoni grease escaping. These guys at Firehouse make the pizzas that everyone else does in their commercials, you can watch as they pile the toppings a mile high on every pie. And when was the last time you saw someone slicing bell peppers and tomatoes by hand for your pizza. I honestly have a hard time understanding how these guys stay in business, but I'm glad they do. And the five dollar slice and soda lunch is probably the best value in town. Thanks guys, keep it up.",European Restaurant,True,1.0,"{'neg': 0.012, 'neu': 0.831, 'pos': 0.156, 'compound': 0.9798}","['enjoying', 'great', 'best', 'escaping.', 'hand', 'honestly', 'hard', 'glad', 'best', 'value', 'Thanks']",['value'],1,0
17,5.0,"Long time favorite Mexican food, always consistent and great tasting.",['Mexican Restaurant'],115827996910815192564,2014-03-13 00:15:13,2014-03-12,en,La Corona,"['914 Walnut St', 'Red Bluff, CA 96080']",False,"[40.175064, -122.242574]","Long time favorite Mexican food, always consistent and great tasting.",Mexican Restaurant,True,1.0,"{'neg': 0.0, 'neu': 0.53, 'pos': 0.47, 'compound': 0.7964}","['favorite', 'great']",[],1,0
27,2.0,Open 24 hours is a plus but really slow. Sat in drive thru for 30 minutes. Was not real friendly. Food was ok,['Restaurant'],100073820849130920147,2013-08-11 06:45:30,2013-08-10,en,Hardee's / Red Burrito,"['134 N Hills St', 'Meridian, MS 39305']",False,"[32.413658, -88.677648]",Open 24 hours is a plus but really slow. Sat in drive thru for 30 minutes. Was not real friendly. Food was ok,Restaurant,True,1.0,"{'neg': 0.126, 'neu': 0.771, 'pos': 0.103, 'compound': -0.1635}","['friendly.', 'ok']",[],0,1
28,2.0,We ordered two large pizzas during the any pizza any way for $10. Our order come to $38 including a salad. You now have to ask for the special or you won't get it. They will charge you full price. The salad was pathetic and disgusting it had gnats all over it in the food and flying around. Service was ok. But for a salad bar to look that way was ridiculous....will not be back. You will wait a while for your pizza....,"['Pizza Restaurant', 'European Restaurant']",102333498482915416504,2013-09-03 01:12:38,2013-09-02,en,Pizza Hut,"['2199 S Byron Butler Pkwy', 'Perry, FL 32348']",False,"[30.09469, -83.580572]",We ordered two large pizzas during the any pizza any way for $10. Our order come to $38 including a salad. You now have to ask for the special or you won't get it. They will charge you full price. The salad was pathetic and disgusting it had gnats all over it in the food and flying around. Service was ok. But for a salad bar to look that way was ridiculous....will not be back. You will wait a while for your pizza....,Pizza Restaurant,True,3.0,"{'neg': 0.053, 'neu': 0.926, 'pos': 0.021, 'compound': -0.4019}","['special', 'pathetic', 'disgusting']","['price', 'charge']",0,1
29,1.0,CLOSED!!!!!,"['Pizza Restaurant', 'European Restaurant']",102471437282277965376,2013-08-16 18:54:50,2013-08-16,en,Hungry Howie's,"['15028 US Highway 19 S', 'Thomasville, GA 31757']",True,"[30.80096, -83.935407]",CLOSED!!!!!,Pizza Restaurant,True,1.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[],[],0,1
30,2.0,"Food was good. Had steak salad and a taco. Was sick and asked for a to go box for the plate of food I had already made and took 5 bites of. The waitress was very polite and friendly and asked her manager if I could have a box and he said NO. I asked to speak with him and he leaned on a wall and asked ""whatcha want"" I explained my situation and he replied with you have already come in and once you've paid for the buffett that was it. He wasn't even sympathetic about me being sick he wouldnt refund my money either I had to call the  corprate office to get my money back....","['Restaurant', 'American Restaurant']",103519165841762621376,2013-08-16 01:20:04,2013-08-15,en,Ryan's,"['207 S Frontage Rd', 'Meridian, MS 39301']",False,"[32.362456, -88.676926]","Food was good. Had steak salad and a taco. Was sick and asked for a to go box for the plate of food I had already made and took 5 bites of. The waitress was very polite and friendly and asked her manager if I could have a box and he said NO. I asked to speak with him and he leaned on a wall and asked ""whatcha want"" I explained my situation and he replied with you have already come in and once you've paid for the buffett that was it. He wasn't even sympathetic about me being sick he wouldnt refund my money either I had to call the  corprate office to get my money back....",Restaurant,True,1.0,"{'neg': 0.072, 'neu': 0.868, 'pos': 0.059, 'compound': -0.3896}","['good.', 'sick', 'friendly', 'want""', 'sympathetic', 'sick']","['refund', 'money']",1,0
31,2.0,Got order to go and was fairly fast but was not the cleanest place....,['American Restaurant'],107667540471917464953,2013-08-11 06:47:58,2013-08-10,en,Waffle House,"['507 Bonita Rd', 'Lauderdale, MS 39301']",False,"[32.367399, -88.675488]",Got order to go and was fairly fast but was not the cleanest place....,American Restaurant,True,1.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[],[],0,1
32,3.0,Biscits hard as a rock..actually knocked on table and watress heard it....food was good biscuits no,['American Restaurant'],117682556988480065346,2012-11-24 18:09:26,2012-11-24,en,Bob Evans Restaurant,"['1400 Harrisburg Pike', 'Carlisle, PA 17015']",False,"[40.2335, -77.12555]",Biscits hard as a rock..actually knocked on table and watress heard it....food was good biscuits no,American Restaurant,True,2.0,"{'neg': 0.185, 'neu': 0.667, 'pos': 0.149, 'compound': 0.0772}","['hard', 'good', 'no']",[],0,1
34,2.0,This not the place to go for fish and chips worse ive ever had same crap in the new location,"['Irish Restaurant', 'European Restaurant', 'Seafood Restaurant']",101223243259821862422,2013-10-16 01:36:19,2013-10-15,en,Eamonn's A Dublin Chipper,"['728 King St', 'Alexandria, VA 22314']",False,"[38.805109, -77.047972]",This not the place to go for fish and chips worst i've ever had same crap in the new location,Irish Restaurant,True,2.0,"{'neg': 0.271, 'neu': 0.729, 'pos': 0.0, 'compound': -0.7717}","['worst', 'crap']",[],1,0
